Month,Sunspots
1768-09,74.80
1768-10,77.80
1768-11,90.60
1768-12,111.80
1769-01,73.90
1769-02,64.20
1769-03,64.30
1769-04,96.70
1769-05,73.60
1769-06,94.40
1769-07,118.60
1769-08,120.30
1769-09,148.80
1769-10,158.20
1769-11,148.10
1769-12,112.00
1770-01,104.00
1770-02,142.50
1770-03,80.10
1770-04,51.00
1770-05,70.10
1770-06,83.30
1770-07,109.80
1770-08,126.30
1770-09,104.40
1770-10,103.60
1770-11,132.20
1770-12,102.30
1771-01,36.00
1771-02,46.20
1771-03,46.70
1771-04,64.90
1771-05,152.70
1771-06,119.50
1771-07,67.70
1771-08,58.50
1771-09,101.40
1771-10,90.00
1771-11,99.70
1771-12,95.70
1772-01,100.90
1772-02,90.80
1772-03,31.10
1772-04,92.20
1772-05,38.00
1772-06,57.00
1772-07,77.30
1772-08,56.20
1772-09,50.50
1772-10,78.60
1772-11,61.30
1772-12,64.00
1773-01,54.60
1773-02,29.00
1773-03,51.20
1773-04,32.90
1773-05,41.10
1773-06,28.40
1773-07,27.70
1773-08,12.70
1773-09,29.30
1773-10,26.30
1773-11,40.90
1773-12,43.20
1774-01,46.80
1774-02,65.40
1774-03,55.70
1774-04,43.80
1774-05,51.30
1774-06,28.50
1774-07,17.50
1774-08,6.60
1774-09,7.90
1774-10,14.00
1774-11,17.70
1774-12,12.20
1775-01,4.40
1775-02,0.00
1775-03,11.60
1775-04,11.20
1775-05,3.90
1775-06,12.30
1775-07,1.00
1775-08,7.90
1775-09,3.20
1775-10,5.60
1775-11,15.10
1775-12,7.90
1776-01,21.70
1776-02,11.60
1776-03,6.30
1776-04,21.80
1776-05,11.20
1776-06,19.00
1776-07,1.00
1776-08,24.20
1776-09,16.00
1776-10,30.00
1776-11,35.00
1776-12,40.00
1777-01,45.00
1777-02,36.50
1777-03,39.00
1777-04,95.50
1777-05,80.30
1777-06,80.70
1777-07,95.00
1777-08,112.00
1777-09,116.20
1777-10,106.50
1777-11,146.00
1777-12,157.30
1778-01,177.30
1778-02,109.30
1778-03,134.00
1778-04,145.00
1778-05,238.90
1778-06,171.60
1778-07,153.00
1778-08,140.00
1778-09,171.70
1778-10,156.30
1778-11,150.30
1778-12,105.00
1779-01,114.70
1779-02,165.70
1779-03,118.00
1779-04,145.00
1779-05,140.00
1779-06,113.70
1779-07,143.00
1779-08,112.00
1779-09,111.00
1779-10,124.00
1779-11,114.00
1779-12,110.00
1780-01,70.00
1780-02,98.00
1780-03,98.00
1780-04,95.00
1780-05,107.20
1780-06,88.00
1780-07,86.00
1780-08,86.00
1780-09,93.70
1780-10,77.00
1780-11,60.00
1780-12,58.70
1781-01,98.70
1781-02,74.70
1781-03,53.00
1781-04,68.30
1781-05,104.70
1781-06,97.70
1781-07,73.50
1781-08,66.00
1781-09,51.00
1781-10,27.30
1781-11,67.00
1781-12,35.20
1782-01,54.00
1782-02,37.50
1782-03,37.00
1782-04,41.00
1782-05,54.30
1782-06,38.00
1782-07,37.00
1782-08,44.00
1782-09,34.00
1782-10,23.20
1782-11,31.50
1782-12,30.00
1783-01,28.00
1783-02,38.70
1783-03,26.70
1783-04,28.30
1783-05,23.00
1783-06,25.20
1783-07,32.20
1783-08,20.00
1783-09,18.00
1783-10,8.00
1783-11,15.00
1783-12,10.50
1784-01,13.00
1784-02,8.00
1784-03,11.00
1784-04,10.00
1784-05,6.00
1784-06,9.00
1784-07,6.00
1784-08,10.00
1784-09,10.00
1784-10,8.00
1784-11,17.00
1784-12,14.00
1785-01,6.50
1785-02,8.00
1785-03,9.00
1785-04,15.70
1785-05,20.70
1785-06,26.30
1785-07,36.30
1785-08,20.00
1785-09,32.00
1785-10,47.20
1785-11,40.20
1785-12,27.30
1786-01,37.20
1786-02,47.60
1786-03,47.70
1786-04,85.40
1786-05,92.30
1786-06,59.00
1786-07,83.00
1786-08,89.70
1786-09,111.50
1786-10,112.30
1786-11,116.00
1786-12,112.70
1787-01,134.70
1787-02,106.00
1787-03,87.40
1787-04,127.20
1787-05,134.80
1787-06,99.20
1787-07,128.00
1787-08,137.20
1787-09,157.30
1787-10,157.00
1787-11,141.50
1787-12,174.00
1788-01,138.00
1788-02,129.20
1788-03,143.30
1788-04,108.50
1788-05,113.00
1788-06,154.20
1788-07,141.50
1788-08,136.00
1788-09,141.00
1788-10,142.00
1788-11,94.70
1788-12,129.50
1789-01,114.00
1789-02,125.30
1789-03,120.00
1789-04,123.30
1789-05,123.50
1789-06,120.00
1789-07,117.00
1789-08,103.00
1789-09,112.00
1789-10,89.70
1789-11,134.00
1789-12,135.50
1790-01,103.00
1790-02,127.50
1790-03,96.30
1790-04,94.00
1790-05,93.00
1790-06,91.00
1790-07,69.30
1790-08,87.00
1790-09,77.30
1790-10,84.30
1790-11,82.00
1790-12,74.00
1791-01,72.70
1791-02,62.00
1791-03,74.00
1791-04,77.20
1791-05,73.70
1791-06,64.20
1791-07,71.00
1791-08,43.00
1791-09,66.50
1791-10,61.70
1791-11,67.00
1791-12,66.00
1792-01,58.00
1792-02,64.00
1792-03,63.00
1792-04,75.70
1792-05,62.00
1792-06,61.00
1792-07,45.80
1792-08,60.00
1792-09,59.00
1792-10,59.00
1792-11,57.00
1792-12,56.00
1793-01,56.00
1793-02,55.00
1793-03,55.50
1793-04,53.00
1793-05,52.30
1793-06,51.00
1793-07,50.00
1793-08,29.30
1793-09,24.00
1793-10,47.00
1793-11,44.00
1793-12,45.70
1794-01,45.00
1794-02,44.00
1794-03,38.00
1794-04,28.40
1794-05,55.70
1794-06,41.50
1794-07,41.00
1794-08,40.00
1794-09,11.10
1794-10,28.50
1794-11,67.40
1794-12,51.40
1795-01,21.40
1795-02,39.90
1795-03,12.60
1795-04,18.60
1795-05,31.00
1795-06,17.10
1795-07,12.90
1795-08,25.70
1795-09,13.50
1795-10,19.50
1795-11,25.00
1795-12,18.00
1796-01,22.00
1796-02,23.80
1796-03,15.70
1796-04,31.70
1796-05,21.00
1796-06,6.70
1796-07,26.90
1796-08,1.50
1796-09,18.40
1796-10,11.00
1796-11,8.40
1796-12,5.10
1797-01,14.40
1797-02,4.20
1797-03,4.00
1797-04,4.00
1797-05,7.30
1797-06,11.10
1797-07,4.30
1797-08,6.00
1797-09,5.70
1797-10,6.90
1797-11,5.80
1797-12,3.00
1798-01,2.00
1798-02,4.00
1798-03,12.40
1798-04,1.10
1798-05,0.00
1798-06,0.00
1798-07,0.00
1798-08,3.00
1798-09,2.40
1798-10,1.50
1798-11,12.50
1798-12,9.90
1799-01,1.60
1799-02,12.60
1799-03,21.70
1799-04,8.40
1799-05,8.20
1799-06,10.60
1799-07,2.10
1799-08,0.00
1799-09,0.00
1799-10,4.60
1799-11,2.70
1799-12,8.60
1800-01,6.90
1800-02,9.30
1800-03,13.90
1800-04,0.00
1800-05,5.00
1800-06,23.70
1800-07,21.00
1800-08,19.50
1800-09,11.50
1800-10,12.30
1800-11,10.50
1800-12,40.10
1801-01,27.00
1801-02,29.00
1801-03,30.00
1801-04,31.00
1801-05,32.00
1801-06,31.20
1801-07,35.00
1801-08,38.70
1801-09,33.50
1801-10,32.60
1801-11,39.80
1801-12,48.20
1802-01,47.80
1802-02,47.00
1802-03,40.80
1802-04,42.00
1802-05,44.00
1802-06,46.00
1802-07,48.00
1802-08,50.00
1802-09,51.80
1802-10,38.50
1802-11,34.50
1802-12,50.00
1803-01,50.00
1803-02,50.80
1803-03,29.50
1803-04,25.00
1803-05,44.30
1803-06,36.00
1803-07,48.30
1803-08,34.10
1803-09,45.30
1803-10,54.30
1803-11,51.00
1803-12,48.00
1804-01,45.30
1804-02,48.30
1804-03,48.00
1804-04,50.60
1804-05,33.40
1804-06,34.80
1804-07,29.80
1804-08,43.10
1804-09,53.00
1804-10,62.30
1804-11,61.00
1804-12,60.00
1805-01,61.00
1805-02,44.10
1805-03,51.40
1805-04,37.50
1805-05,39.00
1805-06,40.50
1805-07,37.60
1805-08,42.70
1805-09,44.40
1805-10,29.40
1805-11,41.00
1805-12,38.30
1806-01,39.00
1806-02,29.60
1806-03,32.70
1806-04,27.70
1806-05,26.40
1806-06,25.60
1806-07,30.00
1806-08,26.30
1806-09,24.00
1806-10,27.00
1806-11,25.00
1806-12,24.00
1807-01,12.00
1807-02,12.20
1807-03,9.60
1807-04,23.80
1807-05,10.00
1807-06,12.00
1807-07,12.70
1807-08,12.00
1807-09,5.70
1807-10,8.00
1807-11,2.60
1807-12,0.00
1808-01,0.00
1808-02,4.50
1808-03,0.00
1808-04,12.30
1808-05,13.50
1808-06,13.50
1808-07,6.70
1808-08,8.00
1808-09,11.70
1808-10,4.70
1808-11,10.50
1808-12,12.30
1809-01,7.20
1809-02,9.20
1809-03,0.90
1809-04,2.50
1809-05,2.00
1809-06,7.70
1809-07,0.30
1809-08,0.20
1809-09,0.40
1809-10,0.00
1809-11,0.00
1809-12,0.00
1810-01,0.00
1810-02,0.00
1810-03,0.00
1810-04,0.00
1810-05,0.00
1810-06,0.00
1810-07,0.00
1810-08,0.00
1810-09,0.00
1810-10,0.00
1810-11,0.00
1810-12,0.00
1811-01,0.00
1811-02,0.00
1811-03,0.00
1811-04,0.00
1811-05,0.00
1811-06,0.00
1811-07,6.60
1811-08,0.00
1811-09,2.40
1811-10,6.10
1811-11,0.80
1811-12,1.10
1812-01,11.30
1812-02,1.90
1812-03,0.70
1812-04,0.00
1812-05,1.00
1812-06,1.30
1812-07,0.50
1812-08,15.60
1812-09,5.20
1812-10,3.90
1812-11,7.90
1812-12,10.10
1813-01,0.00
1813-02,10.30
1813-03,1.90
1813-04,16.60
1813-05,5.50
1813-06,11.20
1813-07,18.30
1813-08,8.40
1813-09,15.30
1813-10,27.80
1813-11,16.70
1813-12,14.30
1814-01,22.20
1814-02,12.00
1814-03,5.70
1814-04,23.80
1814-05,5.80
1814-06,14.90
1814-07,18.50
1814-08,2.30
1814-09,8.10
1814-10,19.30
1814-11,14.50
1814-12,20.10
1815-01,19.20
1815-02,32.20
1815-03,26.20
1815-04,31.60
1815-05,9.80
1815-06,55.90
1815-07,35.50
1815-08,47.20
1815-09,31.50
1815-10,33.50
1815-11,37.20
1815-12,65.00
1816-01,26.30
1816-02,68.80
1816-03,73.70
1816-04,58.80
1816-05,44.30
1816-06,43.60
1816-07,38.80
1816-08,23.20
1816-09,47.80
1816-10,56.40
1816-11,38.10
1816-12,29.90
1817-01,36.40
1817-02,57.90
1817-03,96.20
1817-04,26.40
1817-05,21.20
1817-06,40.00
1817-07,50.00
1817-08,45.00
1817-09,36.70
1817-10,25.60
1817-11,28.90
1817-12,28.40
1818-01,34.90
1818-02,22.40
1818-03,25.40
1818-04,34.50
1818-05,53.10
1818-06,36.40
1818-07,28.00
1818-08,31.50
1818-09,26.10
1818-10,31.70
1818-11,10.90
1818-12,25.80
1819-01,32.50
1819-02,20.70
1819-03,3.70
1819-04,20.20
1819-05,19.60
1819-06,35.00
1819-07,31.40
1819-08,26.10
1819-09,14.90
1819-10,27.50
1819-11,25.10
1819-12,30.60
1820-01,19.20
1820-02,26.60
1820-03,4.50
1820-04,19.40
1820-05,29.30
1820-06,10.80
1820-07,20.60
1820-08,25.90
1820-09,5.20
1820-10,9.00
1820-11,7.90
1820-12,9.70
1821-01,21.50
1821-02,4.30
1821-03,5.70
1821-04,9.20
1821-05,1.70
1821-06,1.80
1821-07,2.50
1821-08,4.80
1821-09,4.40
1821-10,18.80
1821-11,4.40
1821-12,0.00
1822-01,0.00
1822-02,0.90
1822-03,16.10
1822-04,13.50
1822-05,1.50
1822-06,5.60
1822-07,7.90
1822-08,2.10
1822-09,0.00
1822-10,0.40
1822-11,0.00
1822-12,0.00
1823-01,0.00
1823-02,0.00
1823-03,0.60
1823-04,0.00
1823-05,0.00
1823-06,0.00
1823-07,0.50
1823-08,0.00
1823-09,0.00
1823-10,0.00
1823-11,0.00
1823-12,20.40
1824-01,21.60
1824-02,10.80
1824-03,0.00
1824-04,19.40
1824-05,2.80
1824-06,0.00
1824-07,0.00
1824-08,1.40
1824-09,20.50
1824-10,25.20
1824-11,0.00
1824-12,0.80
1825-01,5.00
1825-02,15.50
1825-03,22.40
1825-04,3.80
1825-05,15.40
1825-06,15.40
1825-07,30.90
1825-08,25.40
1825-09,15.70
1825-10,15.60
1825-11,11.70
1825-12,22.00
1826-01,17.70
1826-02,18.20
1826-03,36.70
1826-04,24.00
1826-05,32.40
1826-06,37.10
1826-07,52.50
1826-08,39.60
1826-09,18.90
1826-10,50.60
1826-11,39.50
1826-12,68.10
1827-01,34.60
1827-02,47.40
1827-03,57.80
1827-04,46.00
1827-05,56.30
1827-06,56.70
1827-07,42.90
1827-08,53.70
1827-09,49.60
1827-10,57.20
1827-11,48.20
1827-12,46.10
1828-01,52.80
1828-02,64.40
1828-03,65.00
1828-04,61.10
1828-05,89.10
1828-06,98.00
1828-07,54.30
1828-08,76.40
1828-09,50.40
1828-10,54.70
1828-11,57.00
1828-12,46.60
1829-01,43.00
1829-02,49.40
1829-03,72.30
1829-04,95.00
1829-05,67.50
1829-06,73.90
1829-07,90.80
1829-08,78.30
1829-09,52.80
1829-10,57.20
1829-11,67.60
1829-12,56.50
1830-01,52.20
1830-02,72.10
1830-03,84.60
1830-04,107.10
1830-05,66.30
1830-06,65.10
1830-07,43.90
1830-08,50.70
1830-09,62.10
1830-10,84.40
1830-11,81.20
1830-12,82.10
1831-01,47.50
1831-02,50.10
1831-03,93.40
1831-04,54.60
1831-05,38.10
1831-06,33.40
1831-07,45.20
1831-08,54.90
1831-09,37.90
1831-10,46.20
1831-11,43.50
1831-12,28.90
1832-01,30.90
1832-02,55.50
1832-03,55.10
1832-04,26.90
1832-05,41.30
1832-06,26.70
1832-07,13.90
1832-08,8.90
1832-09,8.20
1832-10,21.10
1832-11,14.30
1832-12,27.50
1833-01,11.30
1833-02,14.90
1833-03,11.80
1833-04,2.80
1833-05,12.90
1833-06,1.00
1833-07,7.00
1833-08,5.70
1833-09,11.60
1833-10,7.50
1833-11,5.90
1833-12,9.90
1834-01,4.90
1834-02,18.10
1834-03,3.90
1834-04,1.40
1834-05,8.80
1834-06,7.80
1834-07,8.70
1834-08,4.00
1834-09,11.50
1834-10,24.80
1834-11,30.50
1834-12,34.50
1835-01,7.50
1835-02,24.50
1835-03,19.70
1835-04,61.50
1835-05,43.60
1835-06,33.20
1835-07,59.80
1835-08,59.00
1835-09,100.80
1835-10,95.20
1835-11,100.00
1835-12,77.50
1836-01,88.60
1836-02,107.60
1836-03,98.10
1836-04,142.90
1836-05,111.40
1836-06,124.70
1836-07,116.70
1836-08,107.80
1836-09,95.10
1836-10,137.40
1836-11,120.90
1836-12,206.20
1837-01,188.00
1837-02,175.60
1837-03,134.60
1837-04,138.20
1837-05,111.30
1837-06,158.00
1837-07,162.80
1837-08,134.00
1837-09,96.30
1837-10,123.70
1837-11,107.00
1837-12,129.80
1838-01,144.90
1838-02,84.80
1838-03,140.80
1838-04,126.60
1838-05,137.60
1838-06,94.50
1838-07,108.20
1838-08,78.80
1838-09,73.60
1838-10,90.80
1838-11,77.40
1838-12,79.80
1839-01,107.60
1839-02,102.50
1839-03,77.70
1839-04,61.80
1839-05,53.80
1839-06,54.60
1839-07,84.70
1839-08,131.20
1839-09,132.70
1839-10,90.80
1839-11,68.80
1839-12,63.60
1840-01,81.20
1840-02,87.70
1840-03,55.50
1840-04,65.90
1840-05,69.20
1840-06,48.50
1840-07,60.70
1840-08,57.80
1840-09,74.00
1840-10,49.80
1840-11,54.30
1840-12,53.70
1841-01,24.00
1841-02,29.90
1841-03,29.70
1841-04,42.60
1841-05,67.40
1841-06,55.70
1841-07,30.80
1841-08,39.30
1841-09,35.10
1841-10,28.50
1841-11,19.80
1841-12,38.80
1842-01,20.40
1842-02,22.10
1842-03,21.70
1842-04,26.90
1842-05,24.90
1842-06,20.50
1842-07,12.60
1842-08,26.50
1842-09,18.50
1842-10,38.10
1842-11,40.50
1842-12,17.60
1843-01,13.30
1843-02,3.50
1843-03,8.30
1843-04,8.80
1843-05,21.10
1843-06,10.50
1843-07,9.50
1843-08,11.80
1843-09,4.20
1843-10,5.30
1843-11,19.10
1843-12,12.70
1844-01,9.40
1844-02,14.70
1844-03,13.60
1844-04,20.80
1844-05,12.00
1844-06,3.70
1844-07,21.20
1844-08,23.90
1844-09,6.90
1844-10,21.50
1844-11,10.70
1844-12,21.60
1845-01,25.70
1845-02,43.60
1845-03,43.30
1845-04,56.90
1845-05,47.80
1845-06,31.10
1845-07,30.60
1845-08,32.30
1845-09,29.60
1845-10,40.70
1845-11,39.40
1845-12,59.70
1846-01,38.70
1846-02,51.00
1846-03,63.90
1846-04,69.20
1846-05,59.90
1846-06,65.10
1846-07,46.50
1846-08,54.80
1846-09,107.10
1846-10,55.90
1846-11,60.40
1846-12,65.50
1847-01,62.60
1847-02,44.90
1847-03,85.70
1847-04,44.70
1847-05,75.40
1847-06,85.30
1847-07,52.20
1847-08,140.60
1847-09,161.20
1847-10,180.40
1847-11,138.90
1847-12,109.60
1848-01,159.10
1848-02,111.80
1848-03,108.90
1848-04,107.10
1848-05,102.20
1848-06,123.80
1848-07,139.20
1848-08,132.50
1848-09,100.30
1848-10,132.40
1848-11,114.60
1848-12,159.90
1849-01,156.70
1849-02,131.70
1849-03,96.50
1849-04,102.50
1849-05,80.60
1849-06,81.20
1849-07,78.00
1849-08,61.30
1849-09,93.70
1849-10,71.50
1849-11,99.70
1849-12,97.00
1850-01,78.00
1850-02,89.40
1850-03,82.60
1850-04,44.10
1850-05,61.60
1850-06,70.00
1850-07,39.10
1850-08,61.60
1850-09,86.20
1850-10,71.00
1850-11,54.80
1850-12,60.00
1851-01,75.50
1851-02,105.40
1851-03,64.60
1851-04,56.50
1851-05,62.60
1851-06,63.20
1851-07,36.10
1851-08,57.40
1851-09,67.90
1851-10,62.50
1851-11,50.90
1851-12,71.40
1852-01,68.40
1852-02,67.50
1852-03,61.20
1852-04,65.40
1852-05,54.90
1852-06,46.90
1852-07,42.00
1852-08,39.70
1852-09,37.50
1852-10,67.30
1852-11,54.30
1852-12,45.40
1853-01,41.10
1853-02,42.90
1853-03,37.70
1853-04,47.60
1853-05,34.70
1853-06,40.00
1853-07,45.90
1853-08,50.40
1853-09,33.50
1853-10,42.30
1853-11,28.80
1853-12,23.40
1854-01,15.40
1854-02,20.00
1854-03,20.70
1854-04,26.40
1854-05,24.00
1854-06,21.10
1854-07,18.70
1854-08,15.80
1854-09,22.40
1854-10,12.70
1854-11,28.20
1854-12,21.40
1855-01,12.30
1855-02,11.40
1855-03,17.40
1855-04,4.40
1855-05,9.10
1855-06,5.30
1855-07,0.40
1855-08,3.10
1855-09,0.00
1855-10,9.70
1855-11,4.30
1855-12,3.10
1856-01,0.50
1856-02,4.90
1856-03,0.40
1856-04,6.50
1856-05,0.00
1856-06,5.00
1856-07,4.60
1856-08,5.90
1856-09,4.40
1856-10,4.50
1856-11,7.70
1856-12,7.20
1857-01,13.70
1857-02,7.40
1857-03,5.20
1857-04,11.10
1857-05,29.20
1857-06,16.00
1857-07,22.20
1857-08,16.90
1857-09,42.40
1857-10,40.60
1857-11,31.40
1857-12,37.20
1858-01,39.00
1858-02,34.90
1858-03,57.50
1858-04,38.30
1858-05,41.40
1858-06,44.50
1858-07,56.70
1858-08,55.30
1858-09,80.10
1858-10,91.20
1858-11,51.90
1858-12,66.90
1859-01,83.70
1859-02,87.60
1859-03,90.30
1859-04,85.70
1859-05,91.00
1859-06,87.10
1859-07,95.20
1859-08,106.80
1859-09,105.80
1859-10,114.60
1859-11,97.20
1859-12,81.00
1860-01,81.50
1860-02,88.00
1860-03,98.90
1860-04,71.40
1860-05,107.10
1860-06,108.60
1860-07,116.70
1860-08,100.30
1860-09,92.20
1860-10,90.10
1860-11,97.90
1860-12,95.60
1861-01,62.30
1861-02,77.80
1861-03,101.00
1861-04,98.50
1861-05,56.80
1861-06,87.80
1861-07,78.00
1861-08,82.50
1861-09,79.90
1861-10,67.20
1861-11,53.70
1861-12,80.50
1862-01,63.10
1862-02,64.50
1862-03,43.60
1862-04,53.70
1862-05,64.40
1862-06,84.00
1862-07,73.40
1862-08,62.50
1862-09,66.60
1862-10,42.00
1862-11,50.60
1862-12,40.90
1863-01,48.30
1863-02,56.70
1863-03,66.40
1863-04,40.60
1863-05,53.80
1863-06,40.80
1863-07,32.70
1863-08,48.10
1863-09,22.00
1863-10,39.90
1863-11,37.70
1863-12,41.20
1864-01,57.70
1864-02,47.10
1864-03,66.30
1864-04,35.80
1864-05,40.60
1864-06,57.80
1864-07,54.70
1864-08,54.80
1864-09,28.50
1864-10,33.90
1864-11,57.60
1864-12,28.60
1865-01,48.70
1865-02,39.30
1865-03,39.50
1865-04,29.40
1865-05,34.50
1865-06,33.60
1865-07,26.80
1865-08,37.80
1865-09,21.60
1865-10,17.10
1865-11,24.60
1865-12,12.80
1866-01,31.60
1866-02,38.40
1866-03,24.60
1866-04,17.60
1866-05,12.90
1866-06,16.50
1866-07,9.30
1866-08,12.70
1866-09,7.30
1866-10,14.10
1866-11,9.00
1866-12,1.50
1867-01,0.00
1867-02,0.70
1867-03,9.20
1867-04,5.10
1867-05,2.90
1867-06,1.50
1867-07,5.00
1867-08,4.90
1867-09,9.80
1867-10,13.50
1867-11,9.30
1867-12,25.20
1868-01,15.60
1868-02,15.80
1868-03,26.50
1868-04,36.60
1868-05,26.70
1868-06,31.10
1868-07,28.60
1868-08,34.40
1868-09,43.80
1868-10,61.70
1868-11,59.10
1868-12,67.60
1869-01,60.90
1869-02,59.30
1869-03,52.70
1869-04,41.00
1869-05,104.00
1869-06,108.40
1869-07,59.20
1869-08,79.60
1869-09,80.60
1869-10,59.40
1869-11,77.40
1869-12,104.30
1870-01,77.30
1870-02,114.90
1870-03,159.40
1870-04,160.00
1870-05,176.00
1870-06,135.60
1870-07,132.40
1870-08,153.80
1870-09,136.00
1870-10,146.40
1870-11,147.50
1870-12,130.00
1871-01,88.30
1871-02,125.30
1871-03,143.20
1871-04,162.40
1871-05,145.50
1871-06,91.70
1871-07,103.00
1871-08,110.00
1871-09,80.30
1871-10,89.00
1871-11,105.40
1871-12,90.30
1872-01,79.50
1872-02,120.10
1872-03,88.40
1872-04,102.10
1872-05,107.60
1872-06,109.90
1872-07,105.50
1872-08,92.90
1872-09,114.60
1872-10,103.50
1872-11,112.00
1872-12,83.90
1873-01,86.70
1873-02,107.00
1873-03,98.30
1873-04,76.20
1873-05,47.90
1873-06,44.80
1873-07,66.90
1873-08,68.20
1873-09,47.50
1873-10,47.40
1873-11,55.40
1873-12,49.20
1874-01,60.80
1874-02,64.20
1874-03,46.40
1874-04,32.00
1874-05,44.60
1874-06,38.20
1874-07,67.80
1874-08,61.30
1874-09,28.00
1874-10,34.30
1874-11,28.90
1874-12,29.30
1875-01,14.60
1875-02,22.20
1875-03,33.80
1875-04,29.10
1875-05,11.50
1875-06,23.90
1875-07,12.50
1875-08,14.60
1875-09,2.40
1875-10,12.70
1875-11,17.70
1875-12,9.90
1876-01,14.30
1876-02,15.00
1876-03,31.20
1876-04,2.30
1876-05,5.10
1876-06,1.60
1876-07,15.20
1876-08,8.80
1876-09,9.90
1876-10,14.30
1876-11,9.90
1876-12,8.20
1877-01,24.40
1877-02,8.70
1877-03,11.70
1877-04,15.80
1877-05,21.20
1877-06,13.40
1877-07,5.90
1877-08,6.30
1877-09,16.40
1877-10,6.70
1877-11,14.50
1877-12,2.30
1878-01,3.30
1878-02,6.00
1878-03,7.80
1878-04,0.10
1878-05,5.80
